Год;Ролик распространение;Телекомпания;Округление
2019;Сетевой;МАТЧ ТВ;0,08
2019;Сетевой;ТНТ 4;0,05
2019;Сетевой;DISCOVERY CHANNEL;0
2019;Сетевой;ПЕРВЫЙ КАНАЛ;0,25
2019;Сетевой;РОССИЯ 1;0,3
2019;Сетевой;РОССИЯ 24;0,2
2019;Сетевой;ТВ ЦЕНТР;0,1
2019;Сетевой;НТВ;0,25
2019;Сетевой;РОССИЯ К;0
2019;Сетевой;ЧЕ;0,05
2019;Сетевой;СТС;0,2
2019;Сетевой;ДОМАШНИЙ;0,1
2019;Сетевой;ТНТ;0,25
2019;Сетевой;ПЯТНИЦА;0,07
2019;Сетевой;ТВ-3;0,1
2019;Сетевой;РЕН ТВ;0,2
2019;Сетевой;Ю;0,05
2019;Сетевой;ЗВЕЗДА;0,1
2019;Сетевой;ПЯТЫЙ КАНАЛ;0,2
2019;Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;0,2
2019;Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;0,05
2019;Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,15
2019;Сетевой;ДОМ КИНО;0,05
2019;Сетевой;RU.TV;0
2019;Сетевой;2X2;0,05
2019;Сетевой;МУЛЬТ;0
2019;Сетевой;СТС LOVE;0,03
2019;Сетевой;КАНАЛ DISNEY;0,03
2019;Сетевой;МУЗ ТВ;0,05
2019;Сетевой;КАРУСЕЛЬ;0,03
2019;Сетевой;МИР;0,04
2019;Сетевой;СУПЕР;0,01
2019;Сетевой;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;0
2019;Сетевой;ЕВРОНОВОСТИ;0
2019;Сетевой;СПАС;0,01
2019;Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,05
2019;Сетевой;РЕКЛАМНЫЙ КАНАЛ ФЕНИКС;0,01
2019;Сетевой;РЕКЛАМНЫЙ КАНАЛ ЭВЕРЕСТ;0,1
2019;Орбитальный;МАТЧ ТВ;0,02
2019;Орбитальный;ТНТ 4;0,02
2019;Орбитальный;ПЕРВЫЙ КАНАЛ;0,15
2019;Орбитальный;РОССИЯ 1;0,1
2019;Орбитальный;ТВ ЦЕНТР;0,05
2019;Орбитальный;НТВ;0,15
2019;Орбитальный;ЧЕ;0,02
2019;Орбитальный;СТС;0,1
2019;Орбитальный;ДОМАШНИЙ;0,05
2019;Орбитальный;ТНТ;0,1
2019;Орбитальный;ПЯТНИЦА;0,05
2019;Орбитальный;ТВ-3;0,05
2019;Орбитальный;РЕН ТВ;0,1
2019;Орбитальный;Ю;0,02
2019;Орбитальный;ЗВЕЗДА;0,05
2019;Орбитальный;ПЯТЫЙ КАНАЛ;0,1
2019;Орбитальный;СТС LOVE;0,01
2019;Орбитальный;КАРУСЕЛЬ;0
2018;Сетевой;МАТЧ ТВ;0,08
2018;Сетевой;ТНТ 4;0,05
2018;Сетевой;DISCOVERY CHANNEL;0
2018;Сетевой;ПЕРВЫЙ КАНАЛ;0,25
2018;Сетевой;РОССИЯ 1;0,3
2018;Сетевой;РОССИЯ 24;0,2
2018;Сетевой;ТВ ЦЕНТР;0,1
2018;Сетевой;НТВ;0,3
2018;Сетевой;РОССИЯ К;0
2018;Сетевой;ЧЕ;0,05
2018;Сетевой;СТС;0,2
2018;Сетевой;ДОМАШНИЙ;0,1
2018;Сетевой;ТНТ;0,25
2018;Сетевой;ПЯТНИЦА;0,05
2018;Сетевой;ТВ-3;0,1
2018;Сетевой;РЕН ТВ;0,2
2018;Сетевой;Ю;0,05
2018;Сетевой;ЗВЕЗДА;0,1
2018;Сетевой;ПЯТЫЙ КАНАЛ;0,2
2018;Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;0,15
2018;Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;0,05
2018;Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,1
2018;Сетевой;ДОМ КИНО;0
2018;Сетевой;RU.TV;0
2018;Сетевой;2X2;0,05
2018;Сетевой;МУЛЬТ;0
2018;Сетевой;СТС LOVE;0,05
2018;Сетевой;КАНАЛ DISNEY;0,05
2018;Сетевой;МУЗ ТВ;0,05
2018;Сетевой;КАРУСЕЛЬ;0,05
2018;Сетевой;МИР;0,01
2018;Сетевой;СУПЕР;0,002
2018;Сетевой;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;0
2018;Сетевой;ЕВРОНОВОСТИ;0
2018;Сетевой;СПАС;0
2018;Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;0
2018;Сетевой;РЕКЛАМНЫЙ КАНАЛ ЭВЕРЕСТ;0
2018;Орбитальный;МАТЧ ТВ;0,02
2018;Орбитальный;ТНТ 4;0,02
2018;Орбитальный;ПЕРВЫЙ КАНАЛ;0,15
2018;Орбитальный;РОССИЯ 1;0,15
2018;Орбитальный;ТВ ЦЕНТР;0,05
2018;Орбитальный;НТВ;0,15
2018;Орбитальный;ЧЕ;0
2018;Орбитальный;СТС;0,1
2018;Орбитальный;ДОМАШНИЙ;0,05
2018;Орбитальный;ТНТ;0,1
2018;Орбитальный;ПЯТНИЦА;0,05
2018;Орбитальный;ТВ-3;0,05
2018;Орбитальный;РЕН ТВ;0,1
2018;Орбитальный;Ю;0
2018;Орбитальный;ЗВЕЗДА;0,05
2018;Орбитальный;ПЯТЫЙ КАНАЛ;0,1
2018;Орбитальный;СТС LOVE;0
2018;Орбитальный;КАРУСЕЛЬ;0
2020;Сетевой;МАТЧ ТВ;0,08
2020;Сетевой;ТНТ 4;0,05
2020;Сетевой;DISCOVERY CHANNEL;0
2020;Сетевой;ПЕРВЫЙ КАНАЛ;0,2
2020;Сетевой;РОССИЯ 1;0,3
2020;Сетевой;РОССИЯ 24;0,2
2020;Сетевой;ТВ ЦЕНТР;0,1
2020;Сетевой;НТВ;0,2
2020;Сетевой;РОССИЯ К;0
2020;Сетевой;ЧЕ;0,05
2020;Сетевой;СТС;0,2
2020;Сетевой;ДОМАШНИЙ;0,1
2020;Сетевой;ТНТ;0,2
2020;Сетевой;ПЯТНИЦА;0,1
2020;Сетевой;ТВ-3;0,1
2020;Сетевой;РЕН ТВ;0,2
2020;Сетевой;Ю;0,05
2020;Сетевой;ЗВЕЗДА;0,1
2020;Сетевой;ПЯТЫЙ КАНАЛ;0,2
2020;Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;0,2
2020;Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;0,05
2020;Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,15
2020;Сетевой;ДОМ КИНО;0,05
2020;Сетевой;RU.TV;0
2020;Сетевой;2X2;0,03
2020;Сетевой;МУЛЬТ;0
2020;Сетевой;СТС LOVE;0,03
2020;Сетевой;КАНАЛ DISNEY;0,03
2020;Сетевой;МУЗ ТВ;0,05
2020;Сетевой;КАРУСЕЛЬ;0,03
2020;Сетевой;МИР;0,04
2020;Сетевой;СУПЕР;0,02
2020;Сетевой;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;0
2020;Сетевой;ЕВРОНОВОСТИ;0
2020;Сетевой;СПАС;0,01
2020;Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,01
2020;Сетевой;РЕКЛАМНЫЙ КАНАЛ ФЕНИКС;0,01
2020;Сетевой;РЕКЛАМНЫЙ КАНАЛ ЭВЕРЕСТ;0,1
2020;Орбитальный;МАТЧ ТВ;0,02
2020;Орбитальный;ТНТ 4;0,02
2020;Орбитальный;ПЕРВЫЙ КАНАЛ;0,15
2020;Орбитальный;РОССИЯ 1;0,1
2020;Орбитальный;ТВ ЦЕНТР;0,05
2020;Орбитальный;НТВ;0,15
2020;Орбитальный;ЧЕ;0,02
2020;Орбитальный;СТС;0,1
2020;Орбитальный;ДОМАШНИЙ;0,05
2020;Орбитальный;ТНТ;0,1
2020;Орбитальный;ПЯТНИЦА;0,05
2020;Орбитальный;ТВ-3;0,05
2020;Орбитальный;РЕН ТВ;0,1
2020;Орбитальный;Ю;0,02
2020;Орбитальный;ЗВЕЗДА;0,05
2020;Орбитальный;ПЯТЫЙ КАНАЛ;0,1
2020;Орбитальный;СТС LOVE;0,01
2020;Орбитальный;КАРУСЕЛЬ;0
2020;Орбитальный;МУЗ ТВ;0,02
2020;Орбитальный;КАНАЛ DISNEY;0,02
2020;Орбитальный;СУПЕР;0,01
2020;Сетевой;СУББОТА;0,02
2020;Орбитальный;СУББОТА;0,01
2021;Сетевой;МАТЧ ТВ;0,08
2021;Сетевой;ТНТ 4;0,05
2021;Сетевой;DISCOVERY CHANNEL;0
2021;Сетевой;ПЕРВЫЙ КАНАЛ;0,2
2021;Сетевой;РОССИЯ 1;0,3
2021;Сетевой;РОССИЯ 24;0,2
2021;Сетевой;ТВ ЦЕНТР;0,1
2021;Сетевой;НТВ;0,2
2021;Сетевой;РОССИЯ К;0
2021;Сетевой;ЧЕ;0,05
2021;Сетевой;СТС;0,2
2021;Сетевой;ДОМАШНИЙ;0,1
2021;Сетевой;ТНТ;0,2
2021;Сетевой;ПЯТНИЦА;0,1
2021;Сетевой;ТВ-3;0,1
2021;Сетевой;РЕН ТВ;0,2
2021;Сетевой;Ю;0,05
2021;Сетевой;ЗВЕЗДА;0,1
2021;Сетевой;ПЯТЫЙ КАНАЛ;0,2
2021;Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2021;Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;0,05
2021;Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2021;Сетевой;ДОМ КИНО;0,03
2021;Сетевой;RU.TV;0
2021;Сетевой;2X2;0,03
2021;Сетевой;МУЛЬТ;0
2021;Сетевой;СТС LOVE;0,03
2021;Сетевой;КАНАЛ DISNEY;0,03
2021;Сетевой;МУЗ ТВ;0,05
2021;Сетевой;КАРУСЕЛЬ;0,03
2021;Сетевой;МИР;0,04
2021;Сетевой;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;0
2021;Сетевой;ЕВРОНОВОСТИ;0
2021;Сетевой;СПАС;0,01
2021;Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,01
2021;Сетевой;РЕКЛАМНЫЙ КАНАЛ ФЕНИКС;0,01
2021;Сетевой;РЕКЛАМНЫЙ КАНАЛ ЭВЕРЕСТ;0,1
2021;Орбитальный;МАТЧ ТВ;0,02
2021;Орбитальный;ТНТ 4;0,02
2021;Орбитальный;ПЕРВЫЙ КАНАЛ;0,15
2021;Орбитальный;РОССИЯ 1;0,1
2021;Орбитальный;ТВ ЦЕНТР;0,05
2021;Орбитальный;НТВ;0,15
2021;Орбитальный;ЧЕ;0,02
2021;Орбитальный;СТС;0,1
2021;Орбитальный;ДОМАШНИЙ;0,05
2021;Орбитальный;ТНТ;0,1
2021;Орбитальный;ПЯТНИЦА;0,05
2021;Орбитальный;ТВ-3;0,05
2021;Орбитальный;РЕН ТВ;0,1
2021;Орбитальный;Ю;0,02
2021;Орбитальный;ЗВЕЗДА;0,05
2021;Орбитальный;ПЯТЫЙ КАНАЛ;0,1
2021;Орбитальный;СТС LOVE;0,01
2021;Орбитальный;КАРУСЕЛЬ;0
2021;Орбитальный;МУЗ ТВ;0,02
2021;Орбитальный;КАНАЛ DISNEY;0,02
2021;Сетевой;СУББОТА;0,02
2021;Орбитальный;СУББОТА;0,01
2022;Сетевой;МАТЧ ТВ;0,08
2022;Сетевой;ТНТ 4;0,05
2022;Сетевой;DISCOVERY CHANNEL;0
2022;Сетевой;ПЕРВЫЙ КАНАЛ;0,2
2022;Сетевой;РОССИЯ 1;0,3
2022;Сетевой;РОССИЯ 24;0,2
2022;Сетевой;ТВ ЦЕНТР;0,1
2022;Сетевой;НТВ;0,2
2022;Сетевой;РОССИЯ К;0
2022;Сетевой;ЧЕ;0,05
2022;Сетевой;СТС;0,2
2022;Сетевой;ДОМАШНИЙ;0,1
2022;Сетевой;ТНТ;0,2
2022;Сетевой;ПЯТНИЦА;0,1
2022;Сетевой;ТВ-3;0,1
2022;Сетевой;РЕН ТВ;0,2
2022;Сетевой;Ю;0,05
2022;Сетевой;ЗВЕЗДА;0,1
2022;Сетевой;ПЯТЫЙ КАНАЛ;0,2
2022;Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2022;Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;0,1
2022;Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2022;Сетевой;ДОМ КИНО;0,03
2022;Сетевой;RU.TV;0
2022;Сетевой;2X2;0,03
2022;Сетевой;МУЛЬТ;0
2022;Сетевой;СТС LOVE;0,03
2022;Сетевой;СОЛНЦЕ;0,03
2022;Сетевой;МУЗ ТВ;0,05
2022;Сетевой;КАРУСЕЛЬ;0,03
2022;Сетевой;МИР;0,04
2022;Сетевой;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;0
2022;Сетевой;ЕВРОНОВОСТИ;0
2022;Сетевой;СПАС;0,01
2022;Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,01
2022;Сетевой;РЕКЛАМНЫЙ КАНАЛ ФЕНИКС;0,01
2022;Сетевой;РЕКЛАМНЫЙ КАНАЛ ЭВЕРЕСТ;0,1
2022;Орбитальный;МАТЧ ТВ;0,02
2022;Орбитальный;ТНТ 4;0,02
2022;Орбитальный;ПЕРВЫЙ КАНАЛ;0,15
2022;Орбитальный;РОССИЯ 1;0,1
2022;Орбитальный;ТВ ЦЕНТР;0,05
2022;Орбитальный;НТВ;0,15
2022;Орбитальный;ЧЕ;0,02
2022;Орбитальный;СТС;0,1
2022;Орбитальный;ДОМАШНИЙ;0,05
2022;Орбитальный;ТНТ;0,1
2022;Орбитальный;ПЯТНИЦА;0,05
2022;Орбитальный;ТВ-3;0,05
2022;Орбитальный;РЕН ТВ;0,1
2022;Орбитальный;Ю;0,02
2022;Орбитальный;ЗВЕЗДА;0,05
2022;Орбитальный;ПЯТЫЙ КАНАЛ;0,1
2022;Орбитальный;СТС LOVE;0,01
2022;Орбитальный;КАРУСЕЛЬ;0
2022;Орбитальный;МУЗ ТВ;0,02
2022;Орбитальный;СОЛНЦЕ;0,02
2022;Сетевой;СУББОТА;0,02
2022;Орбитальный;СУББОТА;0,01
2023;Сетевой;МАТЧ ТВ;0,08
2023;Сетевой;ТНТ 4;0,05
2023;Сетевой;DISCOVERY CHANNEL;0
2023;Сетевой;ПЕРВЫЙ КАНАЛ;0,2
2023;Сетевой;РОССИЯ 1;0,3
2023;Сетевой;РОССИЯ 24;0,2
2023;Сетевой;ТВ ЦЕНТР;0,1
2023;Сетевой;НТВ;0,2
2023;Сетевой;РОССИЯ К;0
2023;Сетевой;ЧЕ;0,05
2023;Сетевой;СТС;0,2
2023;Сетевой;ДОМАШНИЙ;0,1
2023;Сетевой;ТНТ;0,2
2023;Сетевой;ПЯТНИЦА;0,1
2023;Сетевой;ТВ-3;0,1
2023;Сетевой;РЕН ТВ;0,2
2023;Сетевой;Ю;0,05
2023;Сетевой;ЗВЕЗДА;0,1
2023;Сетевой;ПЯТЫЙ КАНАЛ;0,2
2023;Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2023;Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;0,1
2023;Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2023;Сетевой;ДОМ КИНО;0,03
2023;Сетевой;RU.TV;0
2023;Сетевой;2X2;0,03
2023;Сетевой;МУЛЬТ;0
2023;Сетевой;СТС LOVE;0,03
2023;Сетевой;СОЛНЦЕ;0,03
2023;Сетевой;МУЗ ТВ;0,05
2023;Сетевой;КАРУСЕЛЬ;0,03
2023;Сетевой;МИР;0,04
2023;Сетевой;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС;0
2023;Сетевой;ЕВРОНОВОСТИ;0
2023;Сетевой;СПАС;0,01
2023;Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,01
2023;Сетевой;РЕКЛАМНЫЙ КАНАЛ ФЕНИКС;0,01
2023;Сетевой;РЕКЛАМНЫЙ КАНАЛ ЭВЕРЕСТ;0,1
2023;Орбитальный;МАТЧ ТВ;0,02
2023;Орбитальный;ТНТ 4;0,02
2023;Орбитальный;ПЕРВЫЙ КАНАЛ;0,15
2023;Орбитальный;РОССИЯ 1;0,1
2023;Орбитальный;ТВ ЦЕНТР;0,05
2023;Орбитальный;НТВ;0,15
2023;Орбитальный;ЧЕ;0,02
2023;Орбитальный;СТС;0,1
2023;Орбитальный;ДОМАШНИЙ;0,05
2023;Орбитальный;ТНТ;0,1
2023;Орбитальный;ПЯТНИЦА;0,05
2023;Орбитальный;ТВ-3;0,05
2023;Орбитальный;РЕН ТВ;0,1
2023;Орбитальный;Ю;0,02
2023;Орбитальный;ЗВЕЗДА;0,05
2023;Орбитальный;ПЯТЫЙ КАНАЛ;0,1
2023;Орбитальный;СТС LOVE;0,01
2023;Орбитальный;КАРУСЕЛЬ;0
2023;Орбитальный;МУЗ ТВ;0,02
2023;Орбитальный;СОЛНЦЕ;0,02
2023;Сетевой;СУББОТА;0,02
2023;Орбитальный;СУББОТА;0,01
2024;Сетевой;ПЕРВЫЙ КАНАЛ;0,2
2024;Сетевой;РОССИЯ 1;0,3
2024;Сетевой;НТВ;0,2
2024;Сетевой;ТНТ;0,2
2024;Сетевой;СТС;0,2
2024;Сетевой;ПЯТЫЙ КАНАЛ;0,2
2024;Сетевой;РЕН ТВ;0,25
2024;Сетевой;ДОМАШНИЙ;0,1
2024;Сетевой;ТВ-3;0,1
2024;Сетевой;ПЯТНИЦА;0,1
2024;Сетевой;ЧЕ;0,05
2024;Сетевой;Ю;0,05
2024;Сетевой;ТВ ЦЕНТР;0,1
2024;Сетевой;КАРУСЕЛЬ;0,03
2024;Сетевой;ЗВЕЗДА;0,1
2024;Сетевой;РОССИЯ 24;0,2
2024;Сетевой;МАТЧ ТВ;0,08
2024;Сетевой;СОЛНЦЕ;0,03
2024;Сетевой;СТС LOVE;0,03
2024;Сетевой;ТНТ 4;0,05
2024;Сетевой;МУЗ ТВ;0,05
2024;Сетевой;2X2;0,03
2024;Сетевой;СУББОТА;0,02
2024;Сетевой;МИР;0,04
2024;Сетевой;СПАС;0,01
2024;Орбитальный;ПЕРВЫЙ КАНАЛ;0,15
2024;Орбитальный;РОССИЯ 1;0,1
2024;Орбитальный;НТВ;0,15
2024;Орбитальный;ТНТ;0,1
2024;Орбитальный;СТС;0,1
2024;Орбитальный;ПЯТЫЙ КАНАЛ;0,1
2024;Орбитальный;РЕН ТВ;0,15
2024;Орбитальный;ДОМАШНИЙ;0,05
2024;Орбитальный;ТВ-3;0,05
2024;Орбитальный;ПЯТНИЦА;0,05
2024;Орбитальный;ЧЕ;0,02
2024;Орбитальный;Ю;0,02
2024;Орбитальный;ТВ ЦЕНТР;0,05
2024;Орбитальный;ЗВЕЗДА;0,05
2024;Орбитальный;МАТЧ ТВ;0,02
2024;Орбитальный;СОЛНЦЕ;0,02
2024;Орбитальный;СТС LOVE;0,01
2024;Орбитальный;ТНТ 4;0,02
2024;Орбитальный;СУББОТА;0,01
2024;Сетевой;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2024;Сетевой;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2024;Сетевой;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ;0,25
2024;Сетевой;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ;0,01
2024;Сетевой;ДОМ КИНО;0,03
2024;Сетевой;МОСФИЛЬМ. ЗОЛОТАЯ КОЛЛЕКЦИЯ;0,03